,loss,ssim_metric,val_loss,val_ssim_metric
0,-0.640329053401947,0.6393212080001831,-0.5821706056594849,0.5821706056594849
1,-0.6656391549110413,0.66593337059021,-0.5875995755195618,0.5875995755195618
2,-0.6699590420722962,0.6703132390975952,-0.5908305048942566,0.5908305048942566
3,-0.6735583567619323,0.67374187707901,-0.5937420725822449,0.5937420725822449
4,-0.6750864720344544,0.6753636598587036,-0.5943557620048523,0.5943557620048523
5,-0.6746677279472351,0.6749591827392578,-0.5967185497283936,0.5967185497283936
6,-0.6770489949446458,0.6770490407943726,-0.6008368730545044,0.6008368730545044
7,-0.6764343857765198,0.676698625087738,-0.6003031134605408,0.6003031134605408
8,-0.6842553114891052,0.6846001744270325,-0.6076014041900635,0.6076014041900635
9,-0.6898876929283142,0.6903558969497681,-0.6129873394966125,0.6129873394966125
10,-0.6955902075767517,0.6960856914520264,-0.6164098978042603,0.6164098978042603
11,-0.7001597380638123,0.7007952332496643,-0.61770099401474,0.61770099401474
12,-0.7038706350326538,0.70412278175354,-0.6197212934494019,0.6197212934494019
13,-0.7073528552055359,0.7076238989830017,-0.6225603818893433,0.6225603818893433
14,-0.7105082726478577,0.7105022668838501,-0.6265472769737244,0.6265472769737244
15,-0.7105785012245178,0.7108065485954285,-0.6272857785224915,0.6272857785224915
16,-0.7114313125610352,0.7117156386375427,-0.6215924620628357,0.6215924620628357
17,-0.7143401789665222,0.7146130204200745,-0.6295290589332581,0.6295290589332581
18,-0.7206277537345886,0.7207915782928467,-0.6325734257698059,0.6325734257698059
19,-0.7214398842591506,0.7214398980140686,-0.6364617943763733,0.6364617943763733
20,-0.723277633190155,0.7233949303627014,-0.6333727836608887,0.6333727836608887
21,-0.7255794726885282,0.7255795001983643,-0.6390926241874695,0.6390926241874695
22,-0.7260062527656556,0.7263732552528381,-0.6355153322219849,0.6355153322219849
23,-0.7282136607170105,0.7287153005599976,-0.6372578740119934,0.6372578740119934
24,-0.7263291501998901,0.726760983467102,-0.6459354758262634,0.6459354758262634
25,-0.7259253239631653,0.7261705994606018,-0.6397380232810974,0.6397380232810974
26,-0.7254751253128052,0.7255178093910217,-0.6272463202476501,0.6272463202476501
27,-0.7257894849777222,0.7258058786392212,-0.6321386694908142,0.6321386694908142
28,-0.7316061377525329,0.731623113155365,-0.6394049525260925,0.6394049525260925
29,-0.7353760409355163,0.7357742786407471,-0.6449825763702393,0.6449825763702393
30,-0.7396631598472595,0.7399514317512512,-0.644908607006073,0.644908607006073
31,-0.7366107392311096,0.7368854880332947,-0.6469712853431702,0.6469712853431702
32,-0.7370767831802368,0.7374790906906128,-0.649635374546051,0.649635374546051
33,-0.7413291549682617,0.7412421703338623,-0.6379434466362,0.6379434466362
34,-0.7370411467552185,0.7375521063804626,-0.6417348980903625,0.6417348980903625
35,-0.7407544732093811,0.7412526607513428,-0.6511139273643494,0.6511139273643494
36,-0.7457937741279602,0.7461518049240112,-0.657151460647583,0.657151460647583
37,-0.7448998928070069,0.7451478242874146,-0.6545255184173584,0.6545255184173584
38,-0.7470195150375366,0.7474015951156616,-0.6311082243919373,0.6311082243919373
39,-0.7511342358589173,0.7517383098602295,-0.6596799492835999,0.6596799492835999
40,-0.7480861878395081,0.7485427856445312,-0.6518390774726868,0.6518390774726868
41,-0.744300696849823,0.7449063658714294,-0.6422459483146667,0.6422459483146667
