,loss,mean_squared_error,val_loss,val_mean_squared_error
0,134910.76243106616,0.05739067122340202,6372.191719250802,0.0324106439948082
1,29431.323506433822,0.012644581496715546,2833.1468975360576,0.014410130679607391
2,17178.271369485294,0.007367987651377916,2139.2196138822114,0.010880633257329464
3,14500.207904411765,0.0062024458311498165,2831.0409655448716,0.014399418607354164
4,16972.1033203125,0.007403525989502668,1195.4933737730369,0.006080594379454851
5,15424.277964154411,0.006602131761610508,2604.1145457732373,0.013245210982859135
6,13371.803911994486,0.005719501990824938,2888.6598432491987,0.01469248253852129
7,13412.916015625,0.005757165141403675,2711.5223920773237,0.013791516423225403
8,12903.24299172794,0.005517344456166029,1668.1874749599358,0.008484840393066406
9,11846.861483226103,0.005066045559942722,1657.882036258013,0.008432422764599323
10,10821.75382008272,0.004622380714863539,1299.0277475210337,0.006607196293771267
11,10756.581899126839,0.004595431033521891,1500.3015794020432,0.007630928885191679
12,10341.643537454043,0.004424047656357288,1184.3353302784456,0.00602384191006422
13,10867.922834329043,0.004664691165089607,1283.5882098858174,0.00652866717427969
14,9856.196897977941,0.004216806497424841,1230.1053372896636,0.0062566399574279785
15,10114.199770220588,0.004332214593887329,1090.9536664913862,0.005548877641558647
16,9364.346898572197,0.003969127312302589,868.3314913236178,0.004416562616825104
17,8949.065872012867,0.0038324620109051466,962.6659968449519,0.004896373022347689
18,9139.936402803309,0.003920510411262512,875.8875262920673,0.004454994574189186
19,9335.064760454963,0.00399748096242547,682.2879904722556,0.0034702958073467016
20,8688.666546989889,0.0037165062967687845,585.1719735952524,0.0029763381462544203
21,8686.20241842831,0.003712140489369631,577.8464997120393,0.002939079189673066
22,8695.550037339155,0.00371927279047668,753.2716580904447,0.0038313381373882294
23,8801.627412683823,0.0037773887161165476,652.8267415364584,0.0033204483333975077
24,8385.007674632352,0.0036004448775202036,678.4291334885818,0.0034506688825786114
25,7991.211310891544,0.0034234498161822557,500.38441662910657,0.0025450868997722864
26,7675.448592601103,0.003286617575213313,561.6098210261418,0.0028564948588609695
27,7770.677567784926,0.003324432298541069,396.01126959385016,0.00201421813108027
28,7408.634484145221,0.0031797541305422783,339.88640261919073,0.0017287519294768572
29,7459.73399586397,0.0031984795350581408,426.0815578362881,0.0021671627182513475
30,7140.659409466912,0.003052244195714593,348.5882975260417,0.0017730117542669177
31,7233.609337660846,0.0030896358657628298,343.8072689741086,0.0017486942233517766
32,7160.819482421875,0.0030629150569438934,385.0735262357272,0.0019585853442549706
33,6966.621645220588,0.002984209218993783,289.23954342573114,0.0014711483381688595
34,6772.945002297794,0.0028956097085028887,338.80272420247394,0.0017232396639883518
35,6472.005641084559,0.002772978972643614,314.94136673364886,0.0016018744790926576
36,6496.363401884191,0.0027822484262287617,386.7612782013722,0.0019671698100864887
37,6572.761540670956,0.002809449564665556,355.0643748747997,0.001805950771085918
38,6559.748724724264,0.002809450961649418,330.77307754907855,0.001682398607954383
39,6361.630419921875,0.0027200011536478996,309.1289250300481,0.0015723109245300293
40,6080.21997644761,0.0026006055995821953,321.45957907652246,0.0016350280493497849
41,6583.2224149816175,0.002853092737495899,401.8671108148037,0.002044001594185829
42,7030.722213924632,0.003026592079550028,363.90044070512823,0.0018508934881538153
43,6406.785061465993,0.0027441619895398617,292.52815207456933,0.0014878748916089535
44,6388.031657858456,0.0027342066168785095,311.37039732321716,0.0015837117098271847
45,6122.138548368566,0.002627040259540081,353.697757036258,0.001798999379388988
46,6257.42491383272,0.002678867429494858,341.38560955341046,0.0017363769002258778
47,6003.819881663603,0.0025825174525380135,303.4883328951322,0.0015436214162036777
48,6022.8596162683825,0.0025811847299337387,335.7815450032552,0.0017078733071684837
49,6262.677803308824,0.0026885289698839188,306.22683676695215,0.001557550160214305
50,5934.701108685662,0.002543579088523984,231.0318877391326,0.0011750890407711267
51,6057.440653722427,0.0025965909007936716,335.61987735063605,0.00170705106575042
52,5845.742158777573,0.0025054679717868567,279.70895229241785,0.0014226734638214111
53,5660.978311695772,0.002423710422590375,339.8061069586338,0.0017283433116972446
54,5562.880256204044,0.002383256796747446,492.8650856996194,0.002506841439753771
55,5655.388350183824,0.002420566277578473,276.10181994315906,0.001404326525516808
