,loss,mean_squared_error,ssim_loss,val_loss,val_mean_squared_error,val_ssim_loss
0,0.36023846167055046,0.12925110757350922,0.3602384328842163,0.12751987882149526,0.012835724279284477,0.1275198757648468
1,0.15878150341185657,0.0524955615401268,0.15878154337406158,0.18675626852573493,0.02598685212433338,0.18675625324249268
2,0.15402153032747182,0.04866783693432808,0.1540215164422989,0.201690497306677,0.031301986426115036,0.20169049501419067
3,0.15056936679915947,0.04475951939821243,0.1505693793296814,0.2065082215345823,0.03277779370546341,0.20650824904441833
4,0.14855188503861427,0.043029624968767166,0.14855191111564636,0.136346269876529,0.013509140349924564,0.1363462656736374
5,0.14785457199270075,0.04166059195995331,0.14785456657409668,0.13521535809223467,0.013213069178164005,0.13521534204483032
6,0.14954333718527446,0.04203057661652565,0.14954333007335663,0.13398840641364074,0.012786628678441048,0.1339883953332901
7,0.14656046473167159,0.040883973240852356,0.14656047523021698,0.1342748556381617,0.012807092629373074,0.13427484035491943
8,0.1472350467335094,0.04036937281489372,0.14723505079746246,0.1327327359945346,0.012125462293624878,0.13273273408412933
9,0.1441509280015122,0.037709690630435944,0.14415092766284943,0.13068668658916766,0.01153944805264473,0.1306866556406021
10,0.14117701520973985,0.034320686012506485,0.1411769986152649,0.13347649421447363,0.01191949937492609,0.13347649574279785
11,0.13554466143250465,0.027974309399724007,0.13554465770721436,0.13966040351451972,0.013005933724343777,0.13966038823127747
12,0.12894954871047626,0.0207455363124609,0.12894950807094574,0.11138113721823081,0.007454901002347469,0.11138113588094711
13,0.12668783217668533,0.01895989291369915,0.12668782472610474,0.15616025298069686,0.02391420304775238,0.15616025030612946
14,0.12527588213031943,0.01756107620894909,0.1252758651971817,0.1403388296946501,0.01719757728278637,0.14033880829811096
15,0.12357668341560797,0.016294531524181366,0.12357669323682785,0.1585109279705928,0.023841964080929756,0.15851092338562012
16,0.12306239422072064,0.015568074770271778,0.1230623796582222,0.16568769705601227,0.029270868748426437,0.1656876802444458
17,0.12498207153244452,0.016675874590873718,0.12498211115598679,0.30605082787000215,0.22158370912075043,0.30605077743530273
18,0.12333118610761383,0.015610604546964169,0.12333115935325623,0.2632021246812282,0.12664328515529633,0.26320213079452515
19,0.1226181723177433,0.014703615568578243,0.122618168592453,0.15347451124435815,0.02364732325077057,0.15347452461719513
20,0.12226412919434634,0.015034147538244724,0.12226410210132599,0.13379605611165366,0.019657576456665993,0.13379605114459991
21,0.12124170092019168,0.014305940829217434,0.12124171108007431,0.15100784026659453,0.02522980235517025,0.15100784599781036
22,0.12228682095354254,0.014326324686408043,0.12228679656982422,0.12913834819426903,0.013425876386463642,0.12913835048675537
23,0.12243139947002585,0.01494589727371931,0.12243138998746872,0.11092154796306904,0.009642697870731354,0.11092155426740646
24,0.12256156585433266,0.014311823062598705,0.12256157398223877,0.11940667033195496,0.016874536871910095,0.11940666288137436
25,0.12130614776502956,0.0134476562961936,0.1213061586022377,0.0981983855748788,0.008852390572428703,0.09819838404655457
26,0.12031044641678984,0.012386422604322433,0.1203104555606842,0.11018603658064818,0.01083123404532671,0.11018602550029755
27,0.12056890367106958,0.012571864761412144,0.12056887894868851,0.15691254765559465,0.044487059116363525,0.15691258013248444
28,0.11863466216759248,0.011598613113164902,0.1186346486210823,0.12324232627183963,0.01719546690583229,0.1232423260807991
29,0.11864158578894356,0.011542001739144325,0.11864159256219864,0.11352727886958,0.009853041730821133,0.11352728307247162
30,0.12158824875950813,0.012501941062510014,0.12158823758363724,0.09938729879183647,0.008733372204005718,0.0993872880935669
31,0.12217512320388448,0.012827902100980282,0.12217511981725693,0.11092636906183682,0.010553346946835518,0.11092635989189148
