,loss,val_loss,ssim,val_ssim
0,-0.26496434101351984,-0.24566783010959625,0.26511791348457336,0.24566783010959625
1,-0.2654380765226152,-0.24611489474773407,0.265631765127182,0.24611489474773407
2,-0.26523670664540044,-0.24692048132419586,0.26535338163375854,0.24692048132419586
3,-0.26767664816644454,-0.2485511153936386,0.2678695023059845,0.2485511153936386
4,-0.26949649497314737,-0.25294241309165955,0.26965680718421936,0.25294241309165955
5,-0.27922681746659456,-0.2730170488357544,0.27933579683303833,0.2730170488357544
6,-0.36381656483367636,-0.593224048614502,0.36208575963974,0.593224048614502
7,-0.5237963376221834,-0.4757668077945709,0.5265907049179077,0.4757668077945709
8,-0.5525542718392832,-0.5943238139152527,0.5538781881332397,0.5943238139152527
9,-0.604379344869543,-0.6195805072784424,0.604089617729187,0.6195805072784424
10,-0.6264925908159327,-0.6272095441818237,0.6266212463378906,0.6272095441818237
11,-0.6441944285675332,-0.6594588756561279,0.6443466544151306,0.6594588756561279
12,-0.658011277516683,-0.6717761158943176,0.6581519246101379,0.6717761158943176
13,-0.6722038167494314,-0.6886475682258606,0.6720932722091675,0.6886475682258606
14,-0.6794587506188287,-0.6839213371276855,0.6791189908981323,0.6839213371276855
15,-0.6867508071440237,-0.6968318819999695,0.686765193939209,0.6968318819999695
16,-0.6990615173622414,-0.7146117091178894,0.6989954710006714,0.7146117091178894
17,-0.7032557483072635,-0.7052097320556641,0.7030872106552124,0.7052097320556641
18,-0.7078674038251241,-0.708789050579071,0.7079703211784363,0.708789050579071
19,-0.7074625514171742,-0.7196146845817566,0.7071185111999512,0.7196146845817566
20,-0.7118484642770555,-0.730212390422821,0.7118948101997375,0.730212390422821
21,-0.7183300234653331,-0.7354235649108887,0.7183613181114197,0.7354235649108887
22,-0.7276212197762949,-0.7342000007629395,0.7270776629447937,0.7342000007629395
23,-0.7250315105473554,-0.7458181381225586,0.7252101898193359,0.7458181381225586
24,-0.715714262591468,-0.685751736164093,0.7153763175010681,0.685751736164093
25,-0.7039519747098287,-0.6594827771186829,0.7037308812141418,0.6594827771186829
26,-0.7049661234573081,-0.6958290934562683,0.7042264938354492,0.6958290934562683
27,-0.7091239646629051,-0.736422061920166,0.7089329361915588,0.736422061920166
28,-0.7232116041360078,-0.7537034153938293,0.7233682870864868,0.7537034153938293
29,-0.7283799008086875,-0.7375152707099915,0.7283560633659363,0.7375152707099915
30,-0.7350895206133524,-0.7380008697509766,0.7351641654968262,0.7380008697509766
31,-0.7424940533108182,-0.7576594352722168,0.7423215508460999,0.7576594352722168
32,-0.7581376212614553,-0.7705864310264587,0.7578955292701721,0.7705864310264587
33,-0.7653763912342213,-0.7741854786872864,0.7652403116226196,0.7741854786872864
34,-0.7571601161250362,-0.7322486042976379,0.7570841908454895,0.7322486042976379
35,-0.7371164803151731,-0.716407060623169,0.7375479340553284,0.716407060623169
36,-0.7485075526767306,-0.7690258622169495,0.7483640313148499,0.7690258622169495
37,-0.7666765296900714,-0.7829107642173767,0.7669021487236023,0.7829107642173767
38,-0.769415537516276,-0.7770371437072754,0.7694253921508789,0.7770371437072754
39,-0.7652799200128626,-0.7650553584098816,0.7654644250869751,0.7650553584098816
40,-0.7666939474918224,-0.7698476314544678,0.7661435008049011,0.7698476314544678
41,-0.7718287860905683,-0.772740364074707,0.7719398140907288,0.772740364074707
42,-0.7616952061653137,-0.7434182167053223,0.7617225646972656,0.7434182167053223
43,-0.7668720020188226,-0.7647090554237366,0.76656574010849,0.7647090554237366
44,-0.7719678415192498,-0.7768388390541077,0.772283673286438,0.7768388390541077
45,-0.7783639408923961,-0.7864633202552795,0.7784038782119751,0.7864633202552795
46,-0.7794271376397874,-0.7823519706726074,0.7788105010986328,0.7823519706726074
47,-0.7857215779799002,-0.7670230865478516,0.785496711730957,0.7670230865478516
48,-0.7744847138722738,-0.7599727511405945,0.7740367650985718,0.7599727511405945
49,-0.7747063747158757,-0.767645537853241,0.7747621536254883,0.767645537853241
50,-0.7674816162497909,-0.7634815573692322,0.7669945359230042,0.7634815573692322
51,-0.7768399273907697,-0.8001629710197449,0.7767335176467896,0.8001629710197449
52,-0.7773835151283829,-0.7929256558418274,0.7774878740310669,0.7929256558418274
53,-0.7834292054176331,-0.7826063632965088,0.7833529114723206,0.7826063632965088
54,-0.7837024640153956,-0.7996123433113098,0.7841739058494568,0.7996123433113098
55,-0.789683339772401,-0.7881076335906982,0.789616584777832,0.7881076335906982
56,-0.7991043174708331,-0.8024210929870605,0.7983457446098328,0.8024210929870605
57,-0.8019241558180915,-0.8058487772941589,0.8021274209022522,0.8058487772941589
58,-0.7885495755407546,-0.8021371960639954,0.7879021763801575,0.8021371960639954
59,-0.7663146058718363,-0.7821786403656006,0.7672004699707031,0.7821786403656006
60,-0.785785143022184,-0.7879099249839783,0.7850302457809448,0.7879099249839783
61,-0.7686365511682298,-0.7805232405662537,0.7687496542930603,0.7805232405662537
62,-0.7765556816701535,-0.7890380024909973,0.7768555283546448,0.7890380024909973
63,-0.7785240367606834,-0.7997462153434753,0.7784051299095154,0.7997462153434753
64,-0.7941121878447356,-0.785844087600708,0.7938457727432251,0.785844087600708
65,-0.7965148223770989,-0.7921509742736816,0.7966358065605164,0.7921509742736816
66,-0.7946218649546305,-0.7954411506652832,0.7949796915054321,0.7954411506652832
67,-0.7417772147390578,-0.7738133072853088,0.7413867712020874,0.7738133072853088
68,-0.7705637547704909,-0.7946056723594666,0.770957887172699,0.7946056723594666
69,-0.7772999185102957,-0.7465580105781555,0.7772861123085022,0.7465580105781555
70,-0.7919042529883208,-0.7647741436958313,0.7920652627944946,0.7647741436958313
71,-0.7821997646932248,-0.7733244895935059,0.7818760275840759,0.7733244895935059
72,-0.7837190539748581,-0.7971611618995667,0.7831157445907593,0.7971611618995667
73,-0.7912146360785873,-0.7526031136512756,0.7914305925369263,0.7526031136512756
74,-0.7853960836375201,-0.7811441421508789,0.7855938076972961,0.7811441421508789
75,-0.7807571424378289,-0.7912761569023132,0.781372606754303,0.7912761569023132
76,-0.802530617625625,-0.8072293400764465,0.8023642897605896,0.8072293400764465
77,-0.7999735297980132,-0.804630696773529,0.8004371523857117,0.804630696773529
78,-0.777963415340141,-0.7825429439544678,0.7770272493362427,0.7825429439544678
79,-0.7681325806511773,-0.7853416800498962,0.7687762379646301,0.7853416800498962
80,-0.7892460094557868,-0.7715575695037842,0.789100170135498,0.7715575695037842
81,-0.7757328594172442,-0.7417561411857605,0.7754376530647278,0.7417561411857605
82,-0.7838816708988614,-0.8084551692008972,0.7837300896644592,0.8084551692008972
83,-0.7950955430666605,-0.8002540469169617,0.7943466901779175,0.8002540469169617
84,-0.789996933054041,-0.7799142003059387,0.790380597114563,0.7799142003059387
85,-0.7981094938737375,-0.7967526316642761,0.7983041405677795,0.7967526316642761
86,-0.7961706474975303,-0.7736275792121887,0.796341061592102,0.7736275792121887
87,-0.776889838554241,-0.7937801480293274,0.7762635350227356,0.7937801480293274
88,-0.8039385036185935,-0.7985193729400635,0.8030731081962585,0.7985193729400635
89,-0.798841467610112,-0.7925311923027039,0.7986720204353333,0.7925311923027039
90,-0.7989373538229201,-0.7702369093894958,0.7985032796859741,0.7702369093894958
91,-0.7898662708423756,-0.7915628552436829,0.7900334596633911,0.7915628552436829
92,-0.8064997880547135,-0.7897688746452332,0.8062813878059387,0.7897688746452332
93,-0.8025625083181593,-0.8119869232177734,0.8027374148368835,0.8119869232177734
94,-0.8049277751534073,-0.7962731719017029,0.8050892949104309,0.7962731719017029
95,-0.8002337901680557,-0.784310519695282,0.8000558018684387,0.784310519695282
96,-0.7987627276667842,-0.780343770980835,0.798211932182312,0.780343770980835
97,-0.7915084693166945,-0.7864901423454285,0.7912143468856812,0.7864901423454285
98,-0.8160998181060508,-0.8194023966789246,0.816242516040802,0.8194023966789246
99,-0.8163497911559211,-0.7942357063293457,0.816356360912323,0.7942357063293457
100,-0.8029453511591311,-0.7996072769165039,0.8025811314582825,0.7996072769165039
101,-0.8046005920127586,-0.7946580052375793,0.804763913154602,0.7946580052375793
102,-0.8123343189557394,-0.7896733283996582,0.8125540614128113,0.7896733283996582
103,-0.8102636050294947,-0.7973261475563049,0.8101086020469666,0.7973261475563049
104,-0.8172859726128755,-0.8036125302314758,0.8165759444236755,0.8036125302314758
105,-0.8161565352369238,-0.806650698184967,0.8161246180534363,0.806650698184967
106,-0.813893594123699,-0.8124287128448486,0.8143420219421387,0.8124287128448486
107,-0.8147292490358706,-0.8097568154335022,0.8146756291389465,0.8097568154335022
108,-0.813070555528005,-0.8100065588951111,0.8127623796463013,0.8100065588951111
109,-0.8236381941371493,-0.8274712562561035,0.8232606053352356,0.8274712562561035
110,-0.8303309656955578,-0.8227030634880066,0.8301158547401428,0.8227030634880066
111,-0.820426258775923,-0.8013181686401367,0.8206421732902527,0.8013181686401367
112,-0.8106538344312597,-0.7899033427238464,0.8098646402359009,0.7899033427238464
113,-0.8061270360593442,-0.8238164782524109,0.8054882884025574,0.8238164782524109
114,-0.8229658140076531,-0.8207154273986816,0.8230494260787964,0.8207154273986816
115,-0.8251670289922644,-0.822808563709259,0.8253352046012878,0.822808563709259
116,-0.8173183004061381,-0.7840576171875,0.8176174759864807,0.7840576171875
117,-0.8069226896321332,-0.8067107200622559,0.8065056204795837,0.8067107200622559
118,-0.8214162897180628,-0.8095105290412903,0.8214882612228394,0.8095105290412903
119,-0.8303652162905093,-0.8283004760742188,0.8304539918899536,0.8283004760742188
120,-0.8310085314291494,-0.8301170468330383,0.8308939933776855,0.8301170468330383
121,-0.8380651385695846,-0.8301217555999756,0.8377606272697449,0.8301217555999756
122,-0.836955503181175,-0.8289368152618408,0.8367283940315247,0.8289368152618408
123,-0.8389863460152237,-0.8297848701477051,0.8389038443565369,0.8297848701477051
124,-0.8384075981599314,-0.8269820213317871,0.8382377624511719,0.8269820213317871
125,-0.8396661436116254,-0.831676185131073,0.8395317196846008,0.831676185131073
126,-0.839253736866845,-0.8356269001960754,0.8392090201377869,0.8356269001960754
127,-0.8437067557264257,-0.83528733253479,0.8434111475944519,0.83528733253479
128,-0.8431483308474222,-0.830554723739624,0.8429939150810242,0.830554723739624
129,-0.8406715238535846,-0.8299129009246826,0.8405186533927917,0.8299129009246826
130,-0.8416838270646555,-0.8271670341491699,0.8415632843971252,0.8271670341491699
131,-0.8337428812627439,-0.8370659947395325,0.8336869478225708,0.8370659947395325
132,-0.8391664271001462,-0.834529459476471,0.8391960263252258,0.834529459476471
133,-0.8396246786470767,-0.8350136876106262,0.8393513560295105,0.8350136876106262
134,-0.8391082551744249,-0.83730149269104,0.8389124274253845,0.83730149269104
135,-0.8429673623155665,-0.8344085216522217,0.842737078666687,0.8344085216522217
136,-0.8441153345284639,-0.8354268670082092,0.8439406752586365,0.8354268670082092
137,-0.8432292761626067,-0.8322928547859192,0.8429253697395325,0.8322928547859192
138,-0.8447949798018844,-0.830939769744873,0.8447825312614441,0.830939769744873
139,-0.8431447192474648,-0.8340871334075928,0.8429642915725708,0.8340871334075928
140,-0.8438283182956554,-0.8251339793205261,0.8434180021286011,0.8251339793205261
141,-0.8431036494396351,-0.8378116488456726,0.8429142236709595,0.8378116488456726
142,-0.847912538934637,-0.8362760543823242,0.8476764559745789,0.8362760543823242
143,-0.8491806829417193,-0.8389854431152344,0.8489909768104553,0.8389854431152344
144,-0.8486786771703649,-0.8283684253692627,0.8485952019691467,0.8283684253692627
145,-0.8487845813786542,-0.8371090292930603,0.8486093282699585,0.8371090292930603
146,-0.8483085455717864,-0.8357028961181641,0.8484033346176147,0.8357028961181641
147,-0.8476834010194849,-0.8370769619941711,0.8475980758666992,0.8370769619941711
148,-0.8484646677970886,-0.8392273783683777,0.8484269380569458,0.8392273783683777
149,-0.8494272960556878,-0.8384853005409241,0.8492604494094849,0.8384853005409241
150,-0.8512214201468008,-0.8420963883399963,0.8511161208152771,0.8420963883399963
151,-0.8531304465399848,-0.8372767567634583,0.853103518486023,0.8372767567634583
152,-0.8519487712118361,-0.8416373133659363,0.851852536201477,0.8416373133659363
153,-0.8530413420112045,-0.8398303389549255,0.8529782891273499,0.8398303389549255
154,-0.8513308631049262,-0.8417410850524902,0.8512541651725769,0.8417410850524902
155,-0.8521981835365295,-0.8424186706542969,0.8520498275756836,0.8424186706542969
156,-0.8518589249363652,-0.8426645398139954,0.8518747091293335,0.8426645398139954
157,-0.853641066286299,-0.8423128128051758,0.8535603880882263,0.8423128128051758
158,-0.8521664915261445,-0.8432101607322693,0.852089524269104,0.8432101607322693
159,-0.8527168322492529,-0.8428400158882141,0.8526214957237244,0.8428400158882141
160,-0.8518924028785141,-0.8421821594238281,0.851773738861084,0.8421821594238281
161,-0.8525695270962186,-0.8436004519462585,0.852344810962677,0.8436004519462585
162,-0.8549488032305682,-0.8448055386543274,0.8548453450202942,0.8448055386543274
163,-0.854666222024847,-0.8441421389579773,0.8543965220451355,0.8441421389579773
164,-0.8554005468333209,-0.8449862599372864,0.855274498462677,0.8449862599372864
165,-0.8552460030273155,-0.8452590107917786,0.8551350831985474,0.8452590107917786
166,-0.8554924174591347,-0.8465290069580078,0.8554285168647766,0.8465290069580078
167,-0.8546432212547019,-0.8452586531639099,0.8544645309448242,0.8452586531639099
168,-0.8559447195794847,-0.8464415073394775,0.8558686375617981,0.8464415073394775
169,-0.8568631454750344,-0.8452035784721375,0.8567284345626831,0.8452035784721375
170,-0.857002231809828,-0.8463568091392517,0.856960117816925,0.8463568091392517
171,-0.8564345748336227,-0.8454645276069641,0.8562531471252441,0.8454645276069641
172,-0.857094508630258,-0.8458600044250488,0.8569846749305725,0.8458600044250488
173,-0.8565200169881185,-0.8473259806632996,0.8563905358314514,0.8473259806632996
174,-0.8576580308101796,-0.8474831581115723,0.8575653433799744,0.8474831581115723
175,-0.8581624825795492,-0.8455695509910583,0.8580247163772583,0.8455695509910583
176,-0.8583342962794833,-0.8474769592285156,0.8582257032394409,0.8474769592285156
177,-0.8582246038648818,-0.846854031085968,0.8581267595291138,0.846854031085968
178,-0.8586183587710062,-0.8476371765136719,0.8584948778152466,0.8476371765136719
179,-0.8587616284688314,-0.8470795750617981,0.85870760679245,0.8470795750617981
180,-0.857793147917147,-0.8478347659111023,0.8576726913452148,0.8478347659111023
181,-0.8580925972373398,-0.8475205898284912,0.8579731583595276,0.8475205898284912
182,-0.8584644595781962,-0.8476810455322266,0.8583295941352844,0.8476810455322266
183,-0.8584492206573486,-0.8479785323143005,0.8583559989929199,0.8479785323143005
184,-0.8592629278147662,-0.8478600978851318,0.8590990900993347,0.8478600978851318
