,loss,val_loss,mssim,val_mssim
0,1252411.585978836,1978877.875,0.0,0.0
1,576209.6631944445,1511288.875,0.0,0.0
2,440832.1701388889,1196278.625,0.0,0.0
3,411084.60871362436,1192579.25,0.0,0.0
4,399714.8541666667,1186061.25,0.0,0.0
5,392176.69039351854,1137480.75,0.0,0.0
6,388097.06952711643,1158644.125,0.0,0.0
7,391178.61805555556,1145298.625,0.0,0.0
8,388919.5281911376,1210083.25,0.0,0.0
9,385837.548859127,1443597.25,0.0,0.0
10,384211.6073082011,1216991.375,0.0,0.0
11,383041.4573412698,1392877.125,0.0,0.0
12,380792.1576554233,1177086.125,0.0,0.0
13,379063.7093253968,1077274.5,0.0,0.0
14,380686.4845403439,1063114.25,0.0,0.0
15,378668.71122685185,1254945.5,0.0,0.0
16,375655.3182043651,1233758.0,0.0,0.0
17,385211.6441798942,1124765.125,0.0,0.0
18,376372.28571428574,1087294.0,0.0,0.0
19,378656.88938492065,1131743.5,0.0,0.0
20,373872.2728174603,1104272.25,0.0,0.0
21,376064.59920634923,1182888.25,0.0,0.0
22,375066.1870039682,1289219.125,0.0,0.0
23,372600.9390707672,1223316.875,0.0,0.0
24,369006.7646329365,1149057.0,0.0,0.0
25,371223.734375,1185784.0,0.0,0.0
26,369904.28125,1147448.0,0.0,0.0
27,369087.48991402116,1189968.625,0.0,0.0
28,368647.0557208995,1244794.0,0.0,0.0
29,369964.49148478836,1163513.25,0.0,0.0
30,369234.36375661375,1081517.5,0.0,0.0
31,369341.384755291,1048160.625,0.0,0.0
32,368424.08349867724,1066877.125,0.0,0.0
33,367249.7313161376,1074103.375,0.0,0.0
34,368075.3470568783,1104210.375,0.0,0.0
35,365758.11375661375,1103654.375,0.0,0.0
36,367776.56729497353,1083815.875,0.0,0.0
37,368875.224619709,2067122.25,0.0,0.1918293535709381
38,364279.72833994706,2304626.75,0.0,0.0
39,366024.1966765873,2336207.25,0.0,0.21409878134727478
40,363323.19345238095,1564837.0,0.0,0.0
41,366160.2120535714,1434097.5,0.0,0.0
42,362219.89616402116,1165806.125,0.0,0.0
43,362379.82820767193,1005986.875,0.0,0.0
44,365529.7214781746,962231.75,0.0,0.0
45,363220.7745535714,928945.9375,0.0,0.0
46,361560.34375,922664.125,0.0,0.0
47,359460.0498511905,910704.0625,0.0,0.0
48,361214.09763558203,909373.1875,0.0,0.0
49,359861.8318452381,905752.875,0.0,0.0
50,363181.0091765873,906034.75,0.0,0.0
51,360793.2154431217,904316.0,0.0,0.0
