,loss,mean_squared_error,ssim,val_loss,val_mean_squared_error,val_ssim
0,0.154784704408338,0.12489988654851913,0.1548166126012802,0.1516483724117279,0.08933305740356445,0.1516483724117279
1,0.15437945050577964,0.12418016046285629,0.1542915552854538,0.1511158049106598,0.08840002864599228,0.1511158049106598
2,0.1539580600876962,0.12409403920173645,0.15397098660469055,0.1498299539089203,0.0861697569489479,0.1498299539089203
3,0.15022161026154796,0.1158832535147667,0.1501912772655487,0.14441177248954773,0.07494141906499863,0.14441177248954773
4,0.1374431473593558,0.08446195721626282,0.13706550002098083,0.12553200125694275,0.033552128821611404,0.12553200125694275
5,0.11006068894940038,0.03236779570579529,0.1101074293255806,0.09577393531799316,0.012052890844643116,0.09577393531799316
6,0.09052887372672558,0.021249370649456978,0.09052886813879013,0.08174648880958557,0.011567623354494572,0.08174648880958557
7,0.08351485863808662,0.018382478505373,0.08352754265069962,0.07583627104759216,0.010491747409105301,0.07583627104759216
8,0.08022245284049742,0.016993578523397446,0.08025161176919937,0.07918921113014221,0.009223475120961666,0.07918921113014221
9,0.07928212996452086,0.01595335640013218,0.07938744127750397,0.07188287377357483,0.009498014114797115,0.07188287377357483
10,0.0772792523907077,0.014958753250539303,0.07735777646303177,0.07471165060997009,0.00893611554056406,0.07471165060997009
11,0.07573555782437325,0.013667415827512741,0.07573556154966354,0.07441437244415283,0.00825552362948656,0.07441437244415283
12,0.07601449085820106,0.013232855126261711,0.07607927918434143,0.07041069865226746,0.00685802660882473,0.07041069865226746
13,0.0752774428936743,0.012846228666603565,0.07535259425640106,0.07349038124084473,0.007631564047187567,0.07349038124084473
14,0.07536306592725939,0.012677914462983608,0.07527442276477814,0.06864571571350098,0.007381131406873465,0.06864571571350098
15,0.07435923622500512,0.012148981913924217,0.07456431537866592,0.07068672776222229,0.007037069648504257,0.07068672776222229
16,0.07250952336095995,0.011035027913749218,0.0725371465086937,0.07026711106300354,0.006867296528071165,0.07026711106300354
17,0.07152825690084888,0.010173569433391094,0.07148504257202148,0.07290396094322205,0.007562616374343634,0.07290396094322205
18,0.07011980779709355,0.009233400225639343,0.07008654624223709,0.06953716278076172,0.007781729102134705,0.06953716278076172
19,0.06718726083636284,0.008279272355139256,0.06718725711107254,0.07037162780761719,0.0077351294457912445,0.07037162780761719
20,0.06543329358100891,0.007755971048027277,0.06559500098228455,0.070122629404068,0.007407827768474817,0.070122629404068
21,0.06416160445059499,0.00742554385215044,0.06425095349550247,0.06789100170135498,0.007118338253349066,0.06789100170135498
